edit_A3,mappers,chapters,features_edited,year
AFG,55,30,19500,2023
AGO,14,10,4281,2023
ALB,3,3,29,2023
AND,1,1,6,2023
ARE,4,4,134,2023
ARG,16,9,1217,2023
ARM,1,1,17,2023
AUS,17,13,1355,2023
AUT,5,4,551,2023
AZE,2,2,149,2023
BDI,10,5,914,2023
BEL,4,4,62,2023
BEN,10,9,3126,2023
BFA,11,10,647,2023
BGD,154,33,76662,2023
BGR,3,3,32,2023
BHR,3,3,634,2023
BHS,1,1,3,2023
BLR,3,3,81,2023
BLZ,1,1,4,2023
BOL,19,7,21621,2023
BRA,144,63,63949,2023
BRB,1,1,1,2023
BRN,2,2,391,2023
BTN,4,4,68,2023
BWA,11,8,968,2023
CAF,14,12,1230,2023
CAN,16,12,850,2023
CHE,7,7,170,2023
CHL,11,11,272,2023
CHN,23,14,1586,2023
CIV,16,10,25345,2023
CMR,54,27,8032,2023
COD,71,38,12947,2023
COG,41,19,17824,2023
COL,39,22,14003,2023
COM,7,6,603,2023
CPV,3,3,115,2023
CRI,5,4,48,2023
CUB,3,2,332,2023
CYP,2,2,66,2023
CZE,5,4,60,2023
DEU,15,11,1127,2023
DJI,4,4,297,2023
DOM,2,2,133,2023
DZA,36,26,6625,2023
ECU,85,48,12718,2023
EGY,30,22,4091,2023
ERI,4,4,365,2023
ESP,16,10,14654,2023
EST,1,1,9,2023
ETH,105,46,69207,2023
FIN,2,2,4,2023
FJI,16,10,9951,2023
FRA,17,15,364,2023
GAB,8,7,626,2023
GBR,20,18,1283,2023
GEO,1,1,113,2023
GHA,121,27,158818,2023
GIN,26,19,2376,2023
GMB,4,4,533,2023
GNB,3,2,6312,2023
GNQ,12,10,1872,2023
GRC,7,7,380,2023
GTM,10,9,5623,2023
GUY,6,5,666,2023
HKG,1,1,2,2023
HND,34,21,1638,2023
HRV,1,1,4,2023
HTI,4,3,136,2023
HUN,3,3,98,2023
IDN,52,29,8761,2023
IMN,1,1,64,2023
IND,112,43,151188,2023
IRL,4,4,197,2023
IRN,6,6,194,2023
IRQ,19,16,1480,2023
ISL,1,1,2,2023
ISR,5,3,231,2023
ITA,25,15,30500,2023
JAM,14,8,1814,2023
JPN,18,14,96102,2023
KAZ,5,5,272,2023
KEN,152,58,272255,2023
KHM,2,2,132,2023
KIR,2,2,67,2023
KNA,1,1,2,2023
KOR,6,6,242,2023
KOS,5,5,94,2023
LAO,16,11,1431,2023
LBN,8,6,142,2023
LBR,7,5,3457,2023
LBY,89,51,21344,2023
LCA,2,2,16,2023
LKA,198,48,165846,2023
LSO,10,9,85,2023
LTU,1,1,1,2023
MAR,207,84,33707,2023
MCO,1,1,1,2023
MDA,1,1,51,2023
MDG,25,14,3885,2023
MEX,43,31,20109,2023
MLI,35,19,93723,2023
MMR,8,7,2073,2023
MNG,6,6,59,2023
MOZ,65,30,68992,2023
MRT,15,12,1006,2023
MUS,6,4,200,2023
MWI,148,57,114337,2023
MYS,15,10,983,2023
NAM,31,23,2358,2023
NER,24,20,2832,2023
NGA,142,52,348398,2023
NIC,8,4,32213,2023
NLD,4,4,10,2023
NOR,4,4,15,2023
NPL,117,28,179388,2023
NZL,5,5,165,2023
OMN,4,3,884,2023
PAK,17,11,1602,2023
PAN,6,4,345,2023
PCN,1,1,1,2023
PER,12,10,3531,2023
PHL,105,37,53886,2023
PNG,3,3,457,2023
POL,5,5,34,2023
PRI,2,2,30,2023
PRK,1,1,3,2023
PRT,10,8,179,2023
PRY,13,6,33659,2023
PSX,18,7,2196,2023
QAT,11,9,1603,2023
ROU,8,6,345,2023
RUS,13,11,1007,2023
RWA,74,41,67698,2023
SAU,9,7,2275,2023
SDN,59,32,12043,2023
SDS,25,12,2953,2023
SEN,14,10,2204,2023
SGP,1,1,25,2023
SHN,1,1,2,2023
SLE,21,15,4657,2023
SLV,21,17,371,2023
SMR,1,1,14,2023
SOL,5,5,1483,2023
SOM,75,35,209186,2023
SRB,4,4,12,2023
STP,5,4,245,2023
SUR,4,4,6,2023
SVK,4,2,143,2023
SVN,2,2,10,2023
SWE,6,5,775,2023
SWZ,6,5,1254,2023
SYC,1,1,86,2023
SYR,183,71,67567,2023
TCA,1,1,3,2023
TCD,29,21,6834,2023
TGO,36,20,9198,2023
THA,11,9,121,2023
TJK,5,4,203,2023
TKM,2,2,88,2023
TLS,1,1,28,2023
TON,1,1,72,2023
TTO,13,9,5041,2023
TUN,1,1,389,2023
TUR,224,87,93040,2023
TWN,3,3,23,2023
TZA,222,50,227137,2023
UGA,89,32,55145,2023
UKR,6,5,391,2023
URY,3,2,24,2023
USA,97,55,31951,2023
UZB,2,2,463,2023
VEN,2,2,92,2023
VNM,10,7,976,2023
VUT,13,7,3700,2023
YEM,16,13,2070,2023
ZAF,55,29,13410,2023
ZMB,60,31,33545,2023
ZWE,30,17,15028,2023
