user_id,year,n_edits,n_buildings_created,n_buildings_modified,n_buildings_deleted,delta_buildings
1770239,2023,1308,216,48,9,207
2913188,2023,3005,1147,658,450,697
10858729,2023,6500,2313,2248,600,1713
13203366,2023,23434,10346,9583,393,9953
13426455,2023,2744,1044,225,66,978
14334590,2023,904,785,92,5,780
14480656,2023,589,271,164,147,124
14645740,2023,377,244,16,0,244
14854690,2023,25274,14521,9743,189,14332
15741221,2023,3207,627,77,42,585
15839807,2023,1241,482,373,335,147
16060450,2023,15762,4584,4259,108,4476
16119062,2023,1,0,1,0,0
16266664,2023,592,291,25,54,237
16477254,2023,1792,1373,104,16,1357
16815949,2023,120,45,15,0,45
16845930,2023,3564,28,77,13,15
17014167,2023,655,449,159,20,429
17191461,2023,10011,7114,833,373,6741
17582418,2023,623,565,9,5,560
17603092,2023,2171,1554,387,36,1518
18357124,2023,63112,60966,1464,360,60606
18410224,2023,1789,1174,335,50,1124
20115162,2023,42,0,0,0,
20252879,2023,4,4,0,0,4
